task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2025-02-22T12:54:11,TaskManagerExample,1326a60e-60f4-4522-a5a3-234c23e698f4,6.463956208000001,1.1997617677053702e-09,1.8558958764074928e-10,0.18970000000000004,0.0,3.0,1.2870113242777856e-09,0.0,2.0122395833333344e-08,2.140940715761113e-08,France,FRA,île-de-france,,,macOS-14.6.1-arm64-arm-64bit,3.9.13,2.8.3,8,Apple M2,1,Apple M2,2.3869,48.9163,8.0,machine,N
process_data,2025-02-22T12:54:17,TaskManagerExample,1326a60e-60f4-4522-a5a3-234c23e698f4,6.704694708,1.2337261544990442e-08,1.8405237295632375e-09,0.19249999999999998,0.0,3.0,1.3284850531944405e-08,0.0,2.068700691666662e-07,2.2015491969861062e-07,France,FRA,île-de-france,,,macOS-14.6.1-arm64-arm-64bit,3.9.13,2.8.3,8,Apple M2,1,Apple M2,2.3869,48.9163,8.0,machine,N
analyze_results,2025-02-22T12:54:24,TaskManagerExample,1326a60e-60f4-4522-a5a3-234c23e698f4,6.484403583000001,2.4383281046725717e-09,3.7603087755471166e-10,0.1924,0.0,3.0,2.632659972222271e-09,0.0,4.087861083333401e-08,4.3511270805556336e-08,France,FRA,île-de-france,,,macOS-14.6.1-arm64-arm-64bit,3.9.13,2.8.3,8,Apple M2,1,Apple M2,2.3869,48.9163,8.0,machine,N
